title,link,views,date
Big Back Wooped Em' All,https://www.youtube.com/watch?v=xsFuJoE1zBY,54301,Premiered 21 hours ago
"ONE dot did OVER 9,000 DAMAGE",https://www.youtube.com/watch?v=CfH-z6ReI60,89732,"Premiered Oct 2, 2020"
I'm trolling,https://www.youtube.com/watch?v=5nIUnJVkEVE,81781,"Premiered Sep 29, 2020"
The CRACKTATION dyr,https://www.youtube.com/watch?v=EOw1h2NpKac,107472,"Premiered Sep 28, 2020"
Big time throws,https://www.youtube.com/watch?v=iNIp7vRj0Ho,82076,"Sep 27, 2020"
This keyboard is in danger......,https://www.youtube.com/watch?v=_XkgKDWdBU8,115839,"Premiered Sep 24, 2020"
Can Udyr outrun Lillia?,https://www.youtube.com/watch?v=4gKporePJ9I,93167,"Sep 22, 2020"
Learn your ABCs with Trick2G,https://www.youtube.com/watch?v=cVs3HEb_w_g,76401,"Sep 20, 2020"
How many licks,https://www.youtube.com/watch?v=_Xbm_fwT9Xw,79906,"Sep 18, 2020"
I'm an absolute dog!,https://www.youtube.com/watch?v=FE--D221EZg,97538,"Sep 17, 2020"
Back Day @ the gym with Streamer that sits all day,https://www.youtube.com/watch?v=aqvPOlGu4h0,31243,"Sep 14, 2020"
Intmo,https://www.youtube.com/watch?v=egLUXAq6J8I,106362,"Premiered Sep 10, 2020"
Deer vs Dyr,https://www.youtube.com/watch?v=UaRqu1iE8F4,106792,"Sep 8, 2020"
We killed them ALL....... and they didn't suspect us,https://www.youtube.com/watch?v=91oSRYFTrmw,85694,"Sep 4, 2020"
I ALMOST betrayed Lily.......,https://www.youtube.com/watch?v=qLle4i93F1w,89679,"Sep 3, 2020"
Trick2g Inting To Win lol,https://www.youtube.com/watch?v=mJ6wbTgjsEw,82782,"Sep 1, 2020"
Me and Lily FOOLED them all,https://www.youtube.com/watch?v=RlSWAxEgyXo,78467,"Aug 31, 2020"
"""Woof woof woof"" - my team",https://www.youtube.com/watch?v=cUHK0a_mL00,74894,"Aug 30, 2020"
You KENCH just RUN AWAY,https://www.youtube.com/watch?v=rqgUXEAxA_Q,103582,"Aug 29, 2020"
Trick2g LCS Commentary - TSM vs GG,https://www.youtube.com/watch?v=zYpW6c9usbM,76543,"Aug 25, 2020"
Trick2g plays PUMMEL PARTY with the boys,https://www.youtube.com/watch?v=rr5WpFOyggY,45520,"Aug 23, 2020"
Just Trick2g Things,https://www.youtube.com/watch?v=RI4VjRO6Jts,66967,"Aug 18, 2020"
Yassuo TRIED to Snake Me in Among Us!! ft xQc Sanchovies Asyc M0xyy Voyboy,https://www.youtube.com/watch?v=Q4xdVPUGG2w,96121,"Aug 16, 2020"
Among Us (Trick2g Yassuo xQc Sanchovies M0xyy Asyc Voyboy),https://www.youtube.com/watch?v=4xlr8kaLkE4,85452,"Aug 16, 2020"
Trick2g Being Trick2g (Best of July 2020),https://www.youtube.com/watch?v=ek3Vmd_mwU4,73346,"Aug 13, 2020"
Don't Take My F***ing Gold!,https://www.youtube.com/watch?v=YB9QihI422U,71947,"Aug 12, 2020"
Trick.exe,https://www.youtube.com/watch?v=qFJvlx1oYVQ,83970,"Aug 9, 2020"
We Clapped Tyler1 in a 1v1 !!,https://www.youtube.com/watch?v=heReS7-hSMo,67797,"Aug 8, 2020"
You go sleep sleep sleep sleep - Lillia,https://www.youtube.com/watch?v=hdR5KaG21aI,108870,"Aug 3, 2020"
Trick2g singing Baka Mitai for 10 minutes (dame dame meme),https://www.youtube.com/watch?v=wMsTCrIRPXE,81133,"Premiered Jul 30, 2020"
EZ Clap,https://www.youtube.com/watch?v=Hj0wIglZpoY,94279,"Jul 26, 2020"
Volibear Limit Testing,https://www.youtube.com/watch?v=5KnvgPBEUso,90284,"Jul 25, 2020"
Imma beat the poop out of this champion,https://www.youtube.com/watch?v=sgp2I1HeWXI,84377,"Jul 22, 2020"
Learning Legends of Runeterra (League of Legends Card Game),https://www.youtube.com/watch?v=7eL5S4gfoZo,37433,"Jul 19, 2020"
The Compilation That Can Fix Trick's Hairline,https://www.youtube.com/watch?v=DNp8PqyhStw,80470,"Jul 16, 2020"
Intense Gameplay (butt-clench inc),https://www.youtube.com/watch?v=bYZsBtSoY1c,38479,"Jul 15, 2020"
Horsey is back,https://www.youtube.com/watch?v=iLqx48AExtY,103072,"Jul 11, 2020"
